status,y_pred_orig,row_idx,y_true,y_pred_cf,carbs_orig,carbs_cf,protein_orig,protein_cf,fat_orig,fat_cf
skip,117.38482797072699,44,113.4763880243428,,,,,,,
skip,125.92437006528718,45,133.4755102335781,,,,,,,
skip,136.873556552284,46,126.27282820022076,,,,,,,
skip,143.84378373084533,47,156.0457966045721,,,,,,,
skip,136.3592234368111,48,123.05754331714756,,,,,,,
skip,137.42327947089885,49,125.28140348471732,,,,,,,
skip,128.0839572870065,50,115.07617920053283,,,,,,,
skip,133.0132821810072,51,142.19543476335863,,,,,,,
skip,102.47505325983654,52,121.01232519840904,,,,,,,
skip,132.74163767824106,53,149.81649096292378,,,,,,,
skip,137.31162527014914,54,134.63329383401174,,,,,,,
skip,123.59877095941789,55,122.14123572163489,,,,,,,
skip,111.4367573319719,56,111.97900632612324,,,,,,,
ok,146.13615113296945,57,140.05727652743084,140.0574298360713,40.9,38.095708685531925,36.6,36.657052401354015,17.3,20.450034108952437
ok,151.11976189483443,58,140.05727652743084,145.37080010688382,9.5,9.318802581361517,6.2,6.312312824594173,6.4,25.306633739216167
skip,118.54324452326028,59,126.47842890137233,,,,,,,
skip,126.48977732480064,60,138.95218049847352,,,,,,,
skip,111.18860566188188,61,105.16687163734092,,,,,,,
skip,143.97981606493414,62,122.73593125079456,,,,,,,
skip,144.24174350852655,63,126.53776214567948,,,,,,,
ok,156.90018928312645,64,133.8783315626836,140.00900324835075,101.4,40.14381794763223,28.8,31.4352481148983,25.3,25.19077516874404
skip,131.54065485799663,65,139.0273582125926,,,,,,,
skip,120.33003744118963,66,131.83060892505563,,,,,,,
skip,115.25483571023867,67,110.05687871520864,,,,,,,
skip,113.11651608076679,68,136.19068852393443,,,,,,,
ok,152.58149426596037,69,129.02512898981897,143.51180716577198,2.5,1.2167933772230188,0.0,35.5534959191649,0.2,20.846081879690587
skip,127.36528139898722,70,143.11639848223945,,,,,,,
skip,137.1091689914622,71,143.11639848223945,,,,,,,
ok,147.4736525249842,72,144.68926868841234,140.33089015654738,10.6,10.589223358947546,1.6,1.6192360473968677,8.1,9.052096546950708
skip,130.61655948737865,73,115.1315303187165,,,,,,,
skip,112.25525867213905,74,99.40011998343832,,,,,,,
skip,134.74298954950973,75,102.00340993219017,,,,,,,
ok,157.12085167389867,76,115.86624698882284,143.80659013444418,35.1,17.121803621734077,13.1,40.4542522964945,9.5,25.306481863101325
ok,149.85535150039638,77,175.1078450723599,139.58718056858598,20.0,17.149439054945102,10.0,9.941726868413056,6.0,9.050498015104239
ok,157.9295092996242,78,170.3259445180045,141.8804469613861,45.0,15.48804602798684,11.0,24.804071053755052,4.5,9.780272089433723
ok,148.04569864793245,79,163.8745784237374,140.13875574469614,63.1,39.495810173664154,13.2,16.25469041172724,15.7,15.749488920526275
ok,148.20880298259422,80,149.00000000000003,139.82226928709935,19.0,17.14728405390248,2.0,1.9992048898372445,7.0,9.050548756578479
ok,162.89023937471327,81,163.65023982587675,142.64260633820402,96.9,15.187533637841504,18.0,40.453697367631236,25.4,25.509805020055637
ok,146.1129155826347,82,161.509304088286,139.67860902213513,22.0,21.99978204495003,1.0,1.0501566980257877,8.0,7.8999895555880215
skip,141.93192767110364,83,132.14946310295375,,,,,,,
skip,140.67154743302405,84,171.19369613155013,,,,,,,
ok,164.8882023825002,85,171.19369613155013,141.82925687916727,116.2,15.33342507174153,24.6,35.576750908233166,47.6,26.070172216816346
ok,160.02782037010877,86,164.0615674751862,141.25079941946703,22.0,15.510826975616526,1.0,7.6259367072539845,8.0,15.110199608401643
ok,167.3294101665384,87,151.53101617778586,148.4543291091334,63.0,15.334857310239435,15.0,40.4539456771209,18.0,25.53834773225995
ok,168.50389634659138,88,152.99999999999997,159.0111348318366,74.0,17.031107056117502,8.0,3.1182290569970377,23.0,25.42620482197529
ok,180.3787354098294,89,152.367504884874,156.7426064110351,85.1,15.502926184353456,14.2,24.813087769866414,23.7,25.30766955467496
ok,150.86417935412447,90,132.09594739173002,139.87566712483908,83.0,44.60388862146046,25.0,25.11066652654098,24.0,25.348910130645777
ok,163.59174624448488,91,167.09826414096383,145.78080051478318,63.1,15.373293073608938,13.2,35.55501697330206,15.7,25.317123297605832
ok,160.88578842526044,92,163.09189222347285,144.78214304528345,54.1,16.84586707263332,4.1,1.5362244649986678,0.6,5.416364066878842
ok,164.17259309482785,93,162.50641492431876,163.60895432609806,11.4,10.527982030251776,2.0,35.723778777811276,1.5,25.327821385769283
ok,160.34369423692735,94,162.50641492431876,156.0840075145446,2.9,1.5373338331147695,0.5,2.272766669093869,0.4,25.337536884804877
ok,157.01458929513078,95,151.0,146.68182222133785,19.0,16.393114801834738,2.0,40.46393838692256,7.0,35.29314980677266
ok,165.08243470834577,96,163.14019858280864,139.61739700178828,63.1,17.041890781167666,13.2,35.5506592966029,15.7,20.593757717056207
ok,161.52588449655136,97,164.25484808983373,140.19523765296393,65.7,15.493325460148917,17.6,35.550675867668375,18.6,20.903217123155073
ok,155.2641713176877,98,164.25484808983373,141.12869803231615,13.5,12.931521344930207,1.5,23.102248442175537,7.5,20.801070701353424
skip,138.1172327582444,99,121.0711078942041,,,,,,,
ok,147.42210726132424,100,137.21957711282454,140.20262854387195,20.0,17.14675042200685,10.0,5.599328138859505,6.0,5.092998191123854
ok,164.6998524237146,101,157.00000000000003,141.22427483247841,128.9,15.508806462823266,34.9,32.14193620698241,40.6,9.043337996201856
